food_category,n_samples,n_pos,n_neg,accuracy,precision,recall,f1,roc_auc,pr_auc,tp,fp,tn,fn
kaggle_vale_con_id,145,0,145,0.9862068965517241,0.0,0.0,0.0,,,0,2,143,0
carne,110,69,41,0.9,0.8625,1.0,0.9261744966442953,0.9975256274301872,0.998541285173382,69,11,30,0
altro,101,72,29,0.9207920792079208,0.9210526315789473,0.9722222222222222,0.9459459459459459,0.9638409961685824,0.977189953241083,70,6,23,2
burger_panino,78,55,23,0.9230769230769231,0.9016393442622951,1.0,0.9482758620689655,0.9936758893280633,0.99737813311976,55,6,17,0
frutta_verdura,68,33,35,0.8970588235294118,0.825,1.0,0.9041095890410958,0.9930735930735931,0.9930407975862521,33,7,28,0
pasta,67,49,18,0.8059701492537313,0.7903225806451613,1.0,0.8828828828828829,0.8826530612244898,0.9256583363726221,49,13,5,0
riso_paella,54,39,15,0.8888888888888888,0.8837209302325582,0.9743589743589743,0.926829268292683,0.8632478632478633,0.9021709028242646,38,5,10,1
pizza,48,30,18,0.9375,0.9090909090909091,1.0,0.9523809523809523,0.9805555555555555,0.9871145892140516,30,3,15,0
fritti,20,15,5,0.9,0.8823529411764706,1.0,0.9375,1.0,1.0,15,2,3,0
sushi,18,12,6,0.8888888888888888,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.9583333333333334,0.9811507936507936,11,1,5,1
patatine,16,7,9,0.8125,0.7,1.0,0.8235294117647058,0.8333333333333334,0.7,7,3,6,0
dessert,15,12,3,0.8666666666666667,0.8571428571428571,1.0,0.9230769230769231,0.9444444444444444,0.9880952380952381,12,2,1,0
zuppa,12,1,11,0.75,0.25,1.0,0.4,1.0,1.0,1,3,8,0
insalata,8,5,3,1.0,1.0,1.0,1.0,1.0,1.0,5,0,3,0
