food_category,n_samples,n_pos,n_neg,accuracy,precision,recall,f1,roc_auc,pr_auc,tp,fp,tn,fn
carne,137,87,50,0.9562043795620438,0.9354838709677419,1.0,0.9666666666666667,0.9997701149425288,0.9998693834900731,87,6,44,0
altro,101,73,28,0.8217821782178217,0.8666666666666667,0.8904109589041096,0.8783783783783784,0.9373776908023483,0.976730047154043,65,10,18,8
frutta_verdura,86,32,54,0.9534883720930233,0.9117647058823529,0.96875,0.9393939393939394,0.9959490740740741,0.9943910256410257,31,3,51,1
pasta,60,37,23,0.7833333333333333,0.75,0.972972972972973,0.8470588235294118,0.7984723854289072,0.8430520564092002,36,12,11,1
burger_panino,59,41,18,0.864406779661017,1.0,0.8048780487804879,0.8918918918918919,0.981029810298103,0.9917041212612459,33,0,18,8
riso_paella,57,45,12,0.8596491228070176,0.8490566037735849,1.0,0.9183673469387755,0.912962962962963,0.977937715586824,45,8,4,0
pizza,52,32,20,0.8653846153846154,0.8205128205128205,1.0,0.9014084507042254,0.9984375,0.9990530303030303,32,7,13,0
sushi,30,23,7,0.6,1.0,0.4782608695652174,0.6470588235294118,1.0,0.9999999999999999,11,0,7,12
patatine,25,13,12,0.96,0.9285714285714286,1.0,0.9629629629629629,1.0,1.0,13,1,11,0
zuppa,15,1,14,1.0,1.0,1.0,1.0,1.0,1.0,1,0,14,0
dessert,15,14,1,0.7333333333333333,0.9166666666666666,0.7857142857142857,0.8461538461538461,0.7857142857142857,0.9846415489272633,11,1,0,3
fritti,13,6,7,0.9230769230769231,0.8571428571428571,1.0,0.9230769230769231,1.0,1.0,6,1,6,0
insalata,7,6,1,0.8571428571428571,0.8571428571428571,1.0,0.9230769230769231,1.0,1.0,6,1,0,0
