food_category,n_samples,n_pos,n_neg,accuracy,precision,recall,f1,roc_auc,pr_auc,tp,fp,tn,fn
altro,104,72,32,0.7692307692307693,0.75,1.0,0.8571428571428571,0.833767361111111,0.9188519346958817,72,24,8,0
carne,104,64,40,0.9230769230769231,0.8888888888888888,1.0,0.9411764705882353,0.9714843750000001,0.9827254681519407,64,8,32,0
burger_panino,80,56,24,0.75,0.8461538461538461,0.7857142857142857,0.8148148148148148,0.859375,0.9457004548312393,44,8,16,12
pasta,72,48,24,0.19444444444444445,0.3684210526315789,0.2916666666666667,0.32558139534883723,0.20225694444444445,0.609903622284357,14,24,0,34
frutta_verdura,72,32,40,0.875,0.7948717948717948,0.96875,0.8732394366197183,0.98359375,0.9809074460538709,31,8,32,1
riso_paella,56,40,16,0.48214285714285715,0.7037037037037037,0.475,0.5671641791044776,0.7,0.8634322005378776,19,8,8,21
pizza,48,24,24,0.5,0.0,0.0,0.0,0.7517361111111112,0.6882771592967177,0,0,24,24
fritti,16,16,0,1.0,1.0,1.0,1.0,,,16,0,0,0
dessert,16,8,8,0.5,0.5,1.0,0.6666666666666666,1.0,1.0,8,8,0,0
zuppa,16,0,16,1.0,0.0,0.0,0.0,,,0,0,16,0
patatine,16,8,8,1.0,1.0,1.0,1.0,1.0,1.0,8,0,8,0
insalata,8,0,8,1.0,0.0,0.0,0.0,,,0,0,8,0
sushi,8,8,0,0.0,0.0,0.0,0.0,,,0,0,0,8
