food_category,n_samples,n_pos,n_neg,accuracy,precision,recall,f1,roc_auc,pr_auc,tp,fp,tn,fn
altro,104,72,32,0.6923076923076923,0.6923076923076923,1.0,0.8181818181818182,0.6994357638888888,0.8110102952255038,72,32,0,0
carne,104,64,40,0.7692307692307693,0.7272727272727273,1.0,0.8421052631578947,0.794140625,0.7975303655351279,64,24,16,0
burger_panino,80,56,24,0.7125,0.7142857142857143,0.9821428571428571,0.8270676691729323,0.921875,0.9703739761747475,55,22,2,1
pasta,72,48,24,0.6666666666666666,0.6666666666666666,1.0,0.8,0.3611111111111111,0.6063959552897912,48,24,0,0
frutta_verdura,72,32,40,0.6666666666666666,0.5714285714285714,1.0,0.7272727272727273,0.6945312499999999,0.5479990552041532,32,24,16,0
riso_paella,56,40,16,0.8392857142857143,0.8163265306122449,1.0,0.898876404494382,0.9,0.9639491727744514,40,9,7,0
pizza,48,24,24,0.6666666666666666,0.6,1.0,0.75,0.7013888888888888,0.6592975717099716,24,16,8,0
fritti,16,16,0,1.0,1.0,1.0,1.0,,,16,0,0,0
dessert,16,8,8,0.5,0.5,1.0,0.6666666666666666,0.9375,0.8888888888888888,8,8,0,0
zuppa,16,0,16,0.0,0.0,0.0,0.0,,,0,16,0,0
patatine,16,8,8,0.5,0.5,1.0,0.6666666666666666,1.0,1.0,8,8,0,0
insalata,8,0,8,1.0,0.0,0.0,0.0,,,0,0,8,0
sushi,8,8,0,1.0,1.0,1.0,1.0,,,8,0,0,0
