photo_id,y_true,y_prob,y_pred,source,quality,food_category,defect_type,generator,prob_mean,prob_std,prob_min,prob_max,n_versions
01bd,0,1.0,1,originali,buono,frutta_verdura,,,1.0,0.0,1.0,1.0,8
1aa7,0,1.0,1,originali,buono,altro,,,1.0,0.0,1.0,1.0,8
0256,0,1.0,1,originali,buono,pasta,,,1.0,0.0,1.0,1.0,8
c61e,0,1.0,1,originali,buono,frutta_verdura,,,1.0,0.0,1.0,1.0,8
5394,0,0.9999999875000001,1,originali,buono,pizza,,,0.9999999875000001,3.53553390278207e-08,0.9999999,1.0,8
270d,0,0.999999975,1,originali,buono,carne,,,0.999999975,4.629100496989083e-08,0.9999999,1.0,8
fcc5,0,0.9999999375,1,originali,buono,carne,,,0.9999999375,1.7677669529050528e-07,0.9999995,1.0,8
01f1,0,0.9999992875,1,originali,buono,pasta,,,0.9999992875,1.9751582215180976e-06,0.9999944,1.0,8
e02f,0,0.99999832875,1,originali,buono,patatine,,,0.99999832875,7.616980560590787e-07,0.99999714,0.99999917,8
8291,0,0.9999973425,1,originali,buono,dessert,,,0.9999973425,1.6728312185123891e-06,0.99999475,1.0,8
adff,0,0.99992187,1,originali,buono,pasta,,,0.99992187,0.00021467483204669973,0.9993906,0.99999976,8
474b,0,0.999899195,1,originali,buono,altro,,,0.999899195,7.569886638141251e-05,0.99976546,0.99998426,8
e3e2,0,0.99951411,1,originali,buono,riso_paella,,,0.99951411,0.0008762071643004417,0.99739385,0.9999683,8
e21b,0,0.99570947125,1,originali,buono,altro,,,0.99570947125,0.005845242730258591,0.98465216,0.99999464,8
aa9f,0,0.9909237775,1,originali,buono,burger_panino,,,0.9909237775,0.013633379411737699,0.95926464,0.9994173,8
88af,0,0.9410023325,1,originali,buono,carne,,,0.9410023325,0.05551942043453572,0.8077327,0.9750484,8
2e9d,0,0.92221603625,1,originali,buono,frutta_verdura,,,0.92221603625,0.07801049869329785,0.81567913,0.9999819,8
01c2,0,0.9108837,1,originali,buono,altro,,,0.9108837,0.06630217846095449,0.8247088,0.9945633,8
2395,0,0.8658797,1,originali,buono,pizza,,,0.8658797,0.117151748864133,0.67383194,0.99999905,8
