path,y_true,y_prob,y_pred,source,quality,food_category,defect_type,generator
/content/drive/MyDrive/DatasetVerifoto/images/whatsapp_Luca/originali/buone/pixel7a/WhatsApp Image 2026-02-13 at 17.58.11 (1).jpeg,0,1.0,1,originali,buone,pixel7a,,
/content/drive/MyDrive/DatasetVerifoto/images/whatsapp_Luca/originali/buone/internet/WhatsApp Image 2026-02-13 at 21.02.08 (1).jpeg,0,1.0,1,originali,buone,internet,,
/content/drive/MyDrive/DatasetVerifoto/images/whatsapp_Luca/originali/buone/internet/WhatsApp Image 2026-02-13 at 21.02.10 (1).jpeg,0,1.0,1,originali,buone,internet,,
/content/drive/MyDrive/DatasetVerifoto/images/whatsapp_Luca/originali/buone/internet/WhatsApp Image 2026-02-13 at 21.02.08.jpeg,0,1.0,1,originali,buone,internet,,
/content/drive/MyDrive/DatasetVerifoto/images/whatsapp_Luca/originali/buone/internet/WhatsApp Image 2026-02-13 at 21.02.10 (3).jpeg,0,0.99999905,1,originali,buone,internet,,
/content/drive/MyDrive/DatasetVerifoto/images/whatsapp_Luca/originali/buone/pixel7a/WhatsApp Image 2026-02-13 at 17.58.21.jpeg,0,0.9998387,1,originali,buone,pixel7a,,
/content/drive/MyDrive/DatasetVerifoto/images/whatsapp_Luca/originali/buone/internet/WhatsApp Image 2026-02-13 at 21.02.11 (1).jpeg,0,0.99979764,1,originali,buone,internet,,
/content/drive/MyDrive/DatasetVerifoto/images/whatsapp_Luca/originali/buone/pixel7a/WhatsApp Image 2026-02-13 at 17.58.11.jpeg,0,0.9978714,1,originali,buone,pixel7a,,
/content/drive/MyDrive/DatasetVerifoto/images/whatsapp_Luca/originali/buone/internet/WhatsApp Image 2026-02-13 at 21.02.12 (2).jpeg,0,0.99717295,1,originali,buone,internet,,
/content/drive/MyDrive/DatasetVerifoto/images/whatsapp_Luca/originali/buone/pixel7a/WhatsApp Image 2026-02-13 at 17.58.19.jpeg,0,0.99685466,1,originali,buone,pixel7a,,
/content/drive/MyDrive/DatasetVerifoto/images/whatsapp_Luca/originali/buone/internet/WhatsApp Image 2026-02-13 at 21.02.09 (3).jpeg,0,0.99628663,1,originali,buone,internet,,
/content/drive/MyDrive/DatasetVerifoto/images/whatsapp_Luca/originali/buone/internet/WhatsApp Image 2026-02-13 at 21.02.09 (1).jpeg,0,0.995557,1,originali,buone,internet,,
/content/drive/MyDrive/DatasetVerifoto/images/whatsapp_Luca/originali/buone/internet/WhatsApp Image 2026-02-13 at 21.02.08 (3).jpeg,0,0.9853249,1,originali,buone,internet,,
/content/drive/MyDrive/DatasetVerifoto/images/whatsapp_Luca/originali/buone/pixel7a/WhatsApp Image 2026-02-13 at 17.58.03.jpeg,0,0.9844199,1,originali,buone,pixel7a,,
/content/drive/MyDrive/DatasetVerifoto/images/whatsapp_Luca/originali/buone/internet/WhatsApp Image 2026-02-13 at 21.02.11 (3).jpeg,0,0.98052615,1,originali,buone,internet,,
/content/drive/MyDrive/DatasetVerifoto/images/whatsapp_Luca/originali/buone/pixel7a/WhatsApp Image 2026-02-13 at 17.58.22.jpeg,0,0.9724113,1,originali,buone,pixel7a,,
/content/drive/MyDrive/DatasetVerifoto/images/whatsapp_Luca/originali/buone/internet/WhatsApp Image 2026-02-13 at 21.02.11.jpeg,0,0.95108783,1,originali,buone,internet,,
/content/drive/MyDrive/DatasetVerifoto/images/whatsapp_Luca/originali/buone/internet/WhatsApp Image 2026-02-13 at 21.02.12.jpeg,0,0.9258571,1,originali,buone,internet,,
/content/drive/MyDrive/DatasetVerifoto/images/whatsapp_Luca/originali/screenshots/WhatsApp Image 2026-02-13 at 19.42.33.jpeg,0,0.91769505,1,originali,screenshots,WhatsApp Image 2026-02-13 at 19.42.33.jpeg,,
/content/drive/MyDrive/DatasetVerifoto/images/whatsapp_Luca/originali/buone/pixel7a/WhatsApp Image 2026-02-13 at 17.58.21 (1).jpeg,0,0.8919635,1,originali,buone,pixel7a,,
/content/drive/MyDrive/DatasetVerifoto/images/whatsapp_Luca/originali/buone/pixel7a/WhatsApp Image 2026-02-13 at 17.58.03 (1).jpeg,0,0.87707174,1,originali,buone,pixel7a,,
/content/drive/MyDrive/DatasetVerifoto/images/whatsapp_Luca/originali/buone/internet/WhatsApp Image 2026-02-13 at 21.02.12 (4).jpeg,0,0.8351833,1,originali,buone,internet,,
/content/drive/MyDrive/DatasetVerifoto/images/whatsapp_Luca/originali/buone/pixel7a/WhatsApp Image 2026-02-13 at 17.58.02.jpeg,0,0.61961097,1,originali,buone,pixel7a,,
/content/drive/MyDrive/DatasetVerifoto/images/whatsapp_Luca/originali/buone/internet/WhatsApp Image 2026-02-13 at 21.02.10.jpeg,0,0.5614147,1,originali,buone,internet,,
/content/drive/MyDrive/DatasetVerifoto/images/whatsapp_Luca/originali/buone/internet/WhatsApp Image 2026-02-13 at 21.02.12 (1).jpeg,0,0.5032429,1,originali,buone,internet,,
/content/drive/MyDrive/DatasetVerifoto/images/whatsapp_Luca/originali/buone/internet/WhatsApp Image 2026-02-13 at 21.02.07 (2).jpeg,0,0.15842512,1,originali,buone,internet,,
/content/drive/MyDrive/DatasetVerifoto/images/whatsapp_Luca/originali/buone/internet/WhatsApp Image 2026-02-13 at 21.02.09.jpeg,0,0.15084992,1,originali,buone,internet,,
/content/drive/MyDrive/DatasetVerifoto/images/whatsapp_Luca/originali/buone/internet/WhatsApp Image 2026-02-13 at 21.02.13.jpeg,0,0.11282159,1,originali,buone,internet,,
