food_category,n_samples,n_pos,n_neg,accuracy,precision,recall,f1,roc_auc,pr_auc,tp,fp,tn,fn
kaggle_vale_con_id,145,0,145,1.0,0.0,0.0,0.0,,,0,0,145,0
carne,112,72,40,0.6964285714285714,0.7714285714285715,0.75,0.7605633802816901,0.8333333333333333,0.9029738480631643,54,16,24,18
altro,104,72,32,0.5865384615384616,0.7843137254901961,0.5555555555555556,0.6504065040650406,0.6922743055555556,0.8749981932762676,40,11,21,32
burger_panino,88,64,24,0.9545454545454546,1.0,0.9375,0.967741935483871,1.0,1.0,60,0,24,4
frutta_verdura,72,32,40,0.7638888888888888,0.7272727272727273,0.75,0.7384615384615385,0.85,0.8854958652106663,24,9,31,8
pasta,72,48,24,0.5416666666666666,0.6271186440677966,0.7708333333333334,0.6915887850467289,0.6822916666666666,0.8673667806211107,37,22,2,11
riso_paella,64,48,16,0.640625,0.8048780487804879,0.6875,0.7415730337078652,0.7473958333333334,0.9245916374751182,33,8,8,15
pizza,48,24,24,0.6666666666666666,1.0,0.3333333333333333,0.5,1.0,0.9999999999999999,8,0,24,16
insalata,24,16,8,0.3333333333333333,0.0,0.0,0.0,1.0,1.0,0,0,8,16
patatine,24,16,8,1.0,1.0,1.0,1.0,1.0,1.0,16,0,8,0
fritti,16,16,0,0.5625,1.0,0.5625,0.72,,,9,0,0,7
zuppa,16,0,16,0.5,0.0,0.0,0.0,,,0,8,8,0
dessert,8,0,8,1.0,0.0,0.0,0.0,,,0,0,8,0
