photo_id,y_true,y_prob,y_pred,source,quality,food_category,defect_type,generator,prob_mean,prob_std,prob_min,prob_max,n_versions
63ad,0,0.9991638375,1,originali,cattivo,zuppa,bruciato,,0.9991638375,0.00010829052111928426,0.9989536,0.9992543,8
aa12,0,0.99473070125,1,originali,buono,carne,,,0.99473070125,0.0027475011518752353,0.9883875,0.99644274,8
e156,0,0.99104759125,1,originali,cattivo,carne,bruciato,,0.99104759125,0.002232983965660793,0.9860578,0.992683,8
414d,0,0.96132663375,1,originali,buono,pasta,,,0.96132663375,0.009433223737957732,0.9476525,0.97173566,8
7b56,0,0.96120427,1,originali,buono,frutta_verdura,,,0.96120427,0.0006337175885654221,0.96020126,0.9617326,8
b9be,0,0.94629760125,1,originali,buono,riso_paella,,,0.94629760125,0.007793254183599033,0.93963236,0.95856047,8
74ec,0,0.9272267225,1,originali,buono,pasta,,,0.9272267225,0.024019409383654548,0.8882833,0.9737762,8
dd44,0,0.9235141875,1,originali,buono,pasta,,,0.9235141875,0.017764575312838413,0.8877839,0.9418256,8
474b,0,0.90741304875,1,originali,buono,altro,,,0.90741304875,0.024497774616025526,0.8476423,0.92273,8
b04d,0,0.892355845,1,originali,buono,altro,,,0.892355845,0.02688441487700743,0.8444775,0.9179095,8
b9a9,0,0.82922809875,1,originali,buono,altro,,,0.82922809875,0.011716628242484432,0.8077919,0.8465884,8
5cb6,0,0.80624808875,1,originali,buono,frutta_verdura,,,0.80624808875,0.05379795123958808,0.71984935,0.90587276,8
s4md,0,0.6342479,1,originali,buono,kaggle_vale_con_id,,,0.6342479,,0.6342479,0.6342479,1
e99d,0,0.5358092275,1,originali,buono,riso_paella,,,0.5358092275,0.04095466245091155,0.46301544,0.60517347,8
k3xa,0,0.505943,1,originali,buono,kaggle_vale_con_id,,,0.505943,,0.505943,0.505943,1
f5d4,0,0.50293911375,1,originali,buono,patatine,,,0.50293911375,0.023074114933119286,0.45431545,0.53203,8
