food_category,n_samples,n_pos,n_neg,accuracy,precision,recall,f1,roc_auc,pr_auc,tp,fp,tn,fn
internet,27,0,27,0.9629629629629629,0.0,0.0,0.0,,,0,1,26,0
pixel7a,20,0,20,1.0,0.0,0.0,0.0,,,0,0,20,0
chatgpt-1.5,8,8,0,0.25,1.0,0.25,0.4,,,2,0,0,6
iphone13pro,7,0,7,1.0,0.0,0.0,0.0,,,0,0,7,0
chatgpt-mini,3,3,0,0.3333333333333333,1.0,0.3333333333333333,0.5,,,1,0,0,2
galaxyA22,3,0,3,0.3333333333333333,0.0,0.0,0.0,,,0,2,1,0
screenshots,2,2,0,0.0,0.0,0.0,0.0,,,0,0,0,2
deevid_ai,2,2,0,1.0,1.0,1.0,1.0,,,2,0,0,0
Screenshot 2026-02-13 194616.png,1,0,1,1.0,0.0,0.0,0.0,,,0,0,1,0
WhatsApp Image 2026-02-13 at 19.42.33 (1).jpeg,1,0,1,1.0,0.0,0.0,0.0,,,0,0,1,0
WhatsApp Image 2026-02-13 at 19.42.33.jpeg,1,0,1,1.0,0.0,0.0,0.0,,,0,0,1,0
img_article,1,1,0,0.0,0.0,0.0,0.0,,,0,0,0,1
tel_michi,1,0,1,1.0,0.0,0.0,0.0,,,0,0,1,0
