threshold,accuracy,precision,recall,f1,fp,fn
0.1,0.6666666666666666,0.6666666666666666,1.0,0.8,1,0
0.15000000000000002,0.6666666666666666,0.6666666666666666,1.0,0.8,1,0
0.2,0.3333333333333333,0.5,0.5,0.5,1,1
0.25,0.0,0.0,0.0,0.0,1,2
0.30000000000000004,0.0,0.0,0.0,0.0,1,2
0.35,0.0,0.0,0.0,0.0,1,2
0.4,0.0,0.0,0.0,0.0,1,2
0.45000000000000007,0.0,0.0,0.0,0.0,1,2
0.5,0.0,0.0,0.0,0.0,1,2
0.55,0.0,0.0,0.0,0.0,1,2
0.6,0.0,0.0,0.0,0.0,1,2
0.65,0.3333333333333333,0.0,0.0,0.0,0,2
0.7000000000000001,0.3333333333333333,0.0,0.0,0.0,0,2
0.75,0.3333333333333333,0.0,0.0,0.0,0,2
0.8,0.3333333333333333,0.0,0.0,0.0,0,2
0.85,0.3333333333333333,0.0,0.0,0.0,0,2
0.9,0.3333333333333333,0.0,0.0,0.0,0,2
