path,y_true,y_prob,y_pred,source,quality,food_category,defect_type,generator
/content/drive/MyDrive/DatasetVerifoto/images/whatsapp_Luca/modificate/chatgpt-1.5/iphone13pro/WhatsApp Image 2026-02-13 at 20.17.31.jpeg,1,0.0043997997,0,modificate,,chatgpt-1.5,iphone13pro,WhatsApp Image 2026-02-13 at 20.17.31.jpeg
/content/drive/MyDrive/DatasetVerifoto/images/whatsapp_Luca/modificate/screenshots/WhatsApp Image 2026-02-13 at 19.42.34.jpeg,1,0.005600532,0,modificate,,screenshots,WhatsApp Image 2026-02-13 at 19.42.34.jpeg,
/content/drive/MyDrive/DatasetVerifoto/images/whatsapp_Luca/modificate/chatgpt-1.5/iphone13pro/WhatsApp Image 2026-02-13 at 19.25.33.jpeg,1,0.0060554664,0,modificate,,chatgpt-1.5,iphone13pro,WhatsApp Image 2026-02-13 at 19.25.33.jpeg
/content/drive/MyDrive/DatasetVerifoto/images/whatsapp_Luca/modificate/screenshots/WhatsApp Image 2026-02-13 at 19.42.33 (2).jpeg,1,0.017042344,0,modificate,,screenshots,WhatsApp Image 2026-02-13 at 19.42.33 (2).jpeg,
/content/drive/MyDrive/DatasetVerifoto/images/whatsapp_Luca/modificate/chatgpt-mini/WhatsApp Image 2026-02-13 at 20.01.19.jpeg,1,0.017459523,0,modificate,,chatgpt-mini,WhatsApp Image 2026-02-13 at 20.01.19.jpeg,
/content/drive/MyDrive/DatasetVerifoto/images/whatsapp_Luca/modificate/chatgpt-1.5/pixel7a/WhatsApp Image 2026-02-13 at 19.12.17.jpeg,1,0.028161488,0,modificate,,chatgpt-1.5,pixel7a,WhatsApp Image 2026-02-13 at 19.12.17.jpeg
/content/drive/MyDrive/DatasetVerifoto/images/whatsapp_Luca/modificate/chatgpt-mini/WhatsApp Image 2026-02-13 at 19.59.11.jpeg,1,0.06256889,0,modificate,,chatgpt-mini,WhatsApp Image 2026-02-13 at 19.59.11.jpeg,
/content/drive/MyDrive/DatasetVerifoto/images/whatsapp_Luca/modificate/chatgpt-1.5/iphone13pro/WhatsApp Image 2026-02-13 at 20.14.14.jpeg,1,0.077743605,0,modificate,,chatgpt-1.5,iphone13pro,WhatsApp Image 2026-02-13 at 20.14.14.jpeg
/content/drive/MyDrive/DatasetVerifoto/images/whatsapp_Luca/modificate/chatgpt-1.5/iphone13pro/WhatsApp Image 2026-02-13 at 20.16.11.jpeg,1,0.080789864,0,modificate,,chatgpt-1.5,iphone13pro,WhatsApp Image 2026-02-13 at 20.16.11.jpeg
/content/drive/MyDrive/DatasetVerifoto/images/whatsapp_Luca/modificate/chatgpt-1.5/pixel7a/WhatsApp Image 2026-02-13 at 19.12.18.jpeg,1,0.09308513,0,modificate,,chatgpt-1.5,pixel7a,WhatsApp Image 2026-02-13 at 19.12.18.jpeg
/content/drive/MyDrive/DatasetVerifoto/images/whatsapp_Luca/modificate/img_article/Screenshot 2026-02-13 194739.png,1,0.38204855,0,modificate,,img_article,Screenshot 2026-02-13 194739.png,
