food_category,n_samples,n_pos,n_neg,accuracy,precision,recall,f1,roc_auc,pr_auc,tp,fp,tn,fn
kaggle_vale_con_id,146,0,146,0.9657534246575342,0.0,0.0,0.0,,,0,5,141,0
carne,104,56,48,0.9230769230769231,1.0,0.8571428571428571,0.9230769230769231,0.9501488095238095,0.965563676898905,48,0,48,8
altro,104,80,24,0.6442307692307693,0.864406779661017,0.6375,0.7338129496402878,0.79375,0.9351580936546374,51,8,16,29
frutta_verdura,104,72,32,0.8557692307692307,0.9014084507042254,0.8888888888888888,0.8951048951048951,0.923611111111111,0.9725611893063937,64,7,25,8
pasta,96,72,24,0.7395833333333334,0.7901234567901234,0.8888888888888888,0.8366013071895425,0.7268518518518519,0.9090526211676712,64,17,7,8
burger_panino,48,40,8,0.8541666666666666,1.0,0.825,0.9041095890410958,0.9156249999999999,0.9844017271517496,33,0,8,7
pizza,40,24,16,0.8,0.75,1.0,0.8571428571428571,0.9791666666666667,0.9895833333333333,24,8,8,0
riso_paella,32,16,16,0.65625,0.5925925925925926,1.0,0.7441860465116279,0.88671875,0.8982871005413575,16,11,5,0
dessert,24,16,8,0.6666666666666666,1.0,0.5,0.6666666666666666,0.953125,0.9737703013897867,8,0,8,8
sushi,24,8,16,1.0,1.0,1.0,1.0,1.0,1.0,8,0,16,0
fritti,8,8,0,1.0,1.0,1.0,1.0,,,8,0,0,0
patatine,8,8,0,1.0,1.0,1.0,1.0,,,8,0,0,0
zuppa,8,0,8,1.0,0.0,0.0,0.0,,,0,0,8,0
