photo_id,y_true,y_prob,y_pred,source,quality,food_category,defect_type,generator,prob_mean,prob_std,prob_min,prob_max,n_versions
bb31,0,0.99415968375,1,originali,buono,riso_paella,,,0.99415968375,0.0022523237427151017,0.99175256,0.9985656,8
587c,0,0.99238157875,1,originali,buono,pizza,,,0.99238157875,0.0008410666419228269,0.99090004,0.9934396,8
b8a7,0,0.98417234,1,originali,buono,altro,,,0.98417234,0.0011037533968496164,0.98293346,0.9865927,8
0256,0,0.9823436675,1,originali,buono,pasta,,,0.9823436675,0.00491344248321663,0.9770497,0.9929636,8
hwso,0,0.94543284,1,originali,buono,kaggle_vale_con_id,,,0.94543284,,0.94543284,0.94543284,1
yj2g,0,0.88493025,1,originali,buono,kaggle_vale_con_id,,,0.88493025,,0.88493025,0.88493025,1
5njb,0,0.8811986,1,originali,buono,kaggle_vale_con_id,,,0.8811986,,0.8811986,0.8811986,1
iawu,0,0.81228364,1,originali,buono,kaggle_vale_con_id,,,0.81228364,,0.81228364,0.81228364,1
vf2s,0,0.78892773,1,originali,buono,kaggle_vale_con_id,,,0.78892773,,0.78892773,0.78892773,1
5cb6,0,0.77964845,1,originali,buono,frutta_verdura,,,0.77964845,0.10175912387708201,0.62582016,0.96087444,8
74ec,0,0.77136548625,1,originali,buono,pasta,,,0.77136548625,0.07077778095212485,0.70302707,0.9331725,8
e99d,0,0.67090799,1,originali,buono,riso_paella,,,0.67090799,0.09800318985184278,0.5864497,0.8843713,8
xrim,0,0.5709329,1,originali,buono,kaggle_vale_con_id,,,0.5709329,,0.5709329,0.5709329,1
414d,0,0.53022784625,1,originali,buono,pasta,,,0.53022784625,0.14937013148217942,0.4364247,0.8952371,8
cy2m,0,0.4816816,1,originali,buono,kaggle_vale_con_id,,,0.4816816,,0.4816816,0.4816816,1
7680,0,0.4673037525,1,originali,cattivo,carne,bruciato,,0.4673037525,0.01960728347125904,0.44375548,0.50668174,8
4e90,0,0.437003195,1,originali,buono,burger_panino,,,0.437003195,0.056535294149300336,0.3192064,0.50952864,8
7vmg,0,0.42968923,1,originali,buono,kaggle_vale_con_id,,,0.42968923,,0.42968923,0.42968923,1
2c68,0,0.34430660750000003,1,originali,buono,carne,,,0.34430660750000003,0.05594106099817959,0.28808874,0.46338785,8
p5m4,0,0.2700656,1,originali,buono,kaggle_vale_con_id,,,0.2700656,,0.2700656,0.2700656,1
czdj,0,0.25239193,1,originali,buono,kaggle_vale_con_id,,,0.25239193,,0.25239193,0.25239193,1
2f97,0,0.21062066875,1,originali,buono,altro,,,0.21062066875,0.0026591599453234353,0.20793493,0.21603362,8
1fce,0,0.20672879375,1,originali,buono,frutta_verdura,,,0.20672879375,0.011787592190783782,0.18416853,0.22691362,8
