threshold,accuracy,precision,recall,f1,fp,fn
0.1,0.7782805429864253,0.5050505050505051,1.0,0.6711409395973155,49,0
0.15000000000000002,0.8642533936651584,0.6282051282051282,0.98,0.765625,29,1
0.2,0.8778280542986425,0.6666666666666666,0.92,0.773109243697479,23,4
0.25,0.8778280542986425,0.676923076923077,0.88,0.7652173913043478,21,6
0.30000000000000004,0.8823529411764706,0.6935483870967742,0.86,0.7678571428571429,19,7
0.35,0.8868778280542986,0.7049180327868853,0.86,0.7747747747747747,18,7
0.4,0.8868778280542986,0.7049180327868853,0.86,0.7747747747747747,18,7
0.45000000000000007,0.8959276018099548,0.7288135593220338,0.86,0.7889908256880734,16,7
0.5,0.9004524886877828,0.75,0.84,0.7924528301886793,14,8
0.55,0.9049773755656109,0.7636363636363637,0.84,0.8,13,8
0.6,0.9095022624434389,0.7777777777777778,0.84,0.8076923076923077,12,8
0.65,0.9049773755656109,0.7735849056603774,0.82,0.7961165048543689,12,9
0.7000000000000001,0.9095022624434389,0.7884615384615384,0.82,0.803921568627451,11,9
0.75,0.9004524886877828,0.78,0.78,0.78,11,11
0.8,0.9140271493212669,0.8297872340425532,0.78,0.8041237113402062,8,11
0.85,0.9140271493212669,0.8444444444444444,0.76,0.8,7,12
0.9,0.918552036199095,0.8809523809523809,0.74,0.8043478260869565,5,13
