threshold,accuracy,precision,recall,f1,fp,fn
0.1,0.6666666666666666,0.6666666666666666,1.0,0.8,1,0
0.15000000000000002,1.0,1.0,1.0,1.0,0,0
0.2,0.6666666666666666,1.0,0.5,0.6666666666666666,0,1
0.25,0.6666666666666666,1.0,0.5,0.6666666666666666,0,1
0.30000000000000004,0.6666666666666666,1.0,0.5,0.6666666666666666,0,1
0.35,0.6666666666666666,1.0,0.5,0.6666666666666666,0,1
0.4,0.6666666666666666,1.0,0.5,0.6666666666666666,0,1
0.45000000000000007,0.6666666666666666,1.0,0.5,0.6666666666666666,0,1
0.5,0.6666666666666666,1.0,0.5,0.6666666666666666,0,1
0.55,0.6666666666666666,1.0,0.5,0.6666666666666666,0,1
0.6,0.6666666666666666,1.0,0.5,0.6666666666666666,0,1
0.65,0.6666666666666666,1.0,0.5,0.6666666666666666,0,1
0.7000000000000001,0.6666666666666666,1.0,0.5,0.6666666666666666,0,1
0.75,0.6666666666666666,1.0,0.5,0.6666666666666666,0,1
0.8,0.6666666666666666,1.0,0.5,0.6666666666666666,0,1
0.85,0.6666666666666666,1.0,0.5,0.6666666666666666,0,1
0.9,0.3333333333333333,0.0,0.0,0.0,0,2
