food_category,n_samples,n_pos,n_neg,accuracy,precision,recall,f1,roc_auc,pr_auc,tp,fp,tn,fn
ds2__modificate__zuppa__marcio__gpt_image_1_mini__002650.jpg,1,1,0,1.0,1.0,1.0,1.0,,,1,0,0,0
ds1__modificate__root__000008.jpg,1,1,0,1.0,1.0,1.0,1.0,,,1,0,0,0
ds1__modificate__root__000013.jpg,1,1,0,1.0,1.0,1.0,1.0,,,1,0,0,0
ds2__modificate__riso_paella__bruciato__gpt_image_1_mini__002396.jpg,1,1,0,1.0,1.0,1.0,1.0,,,1,0,0,0
ds2__modificate__riso_paella__bruciato__gpt_image_1_mini__002397.jpg,1,1,0,1.0,1.0,1.0,1.0,,,1,0,0,0
ds2__modificate__riso_paella__bruciato__gpt_image_1_mini__002414.jpg,1,1,0,1.0,1.0,1.0,1.0,,,1,0,0,0
ds2__modificate__riso_paella__bruciato__gpt_image_1_mini__002415.jpg,1,1,0,1.0,1.0,1.0,1.0,,,1,0,0,0
ds2__modificate__riso_paella__bruciato__gpt_image_1_mini__002417.jpg,1,1,0,1.0,1.0,1.0,1.0,,,1,0,0,0
ds2__modificate__riso_paella__bruciato__gpt_image_1_mini__002427.jpg,1,1,0,1.0,1.0,1.0,1.0,,,1,0,0,0
ds2__modificate__riso_paella__bruciato__gpt_image_1_mini__002429.jpg,1,1,0,1.0,1.0,1.0,1.0,,,1,0,0,0
ds2__modificate__riso_paella__crudo__gpt_image_1_5__002440.jpg,1,1,0,1.0,1.0,1.0,1.0,,,1,0,0,0
ds2__modificate__riso_paella__ammuffito__gpt_image_1_5__002320.jpg,1,1,0,1.0,1.0,1.0,1.0,,,1,0,0,0
ds2__modificate__riso_paella__ammuffito__gpt_image_1_mini__002328.jpg,1,1,0,1.0,1.0,1.0,1.0,,,1,0,0,0
ds2__modificate__riso_paella__ammuffito__gpt_image_1_mini__002334.jpg,1,1,0,1.0,1.0,1.0,1.0,,,1,0,0,0
ds2__modificate__riso_paella__ammuffito__gpt_image_1_mini__002337.jpg,1,1,0,1.0,1.0,1.0,1.0,,,1,0,0,0
ds2__modificate__riso_paella__ammuffito__gpt_image_1_mini__002339.jpg,1,1,0,1.0,1.0,1.0,1.0,,,1,0,0,0
ds2__modificate__riso_paella__bruciato__gpt_image_1_5__002353.jpg,1,1,0,1.0,1.0,1.0,1.0,,,1,0,0,0
