food_category,n_samples,n_pos,n_neg,accuracy,precision,recall,f1,roc_auc,pr_auc,tp,fp,tn,fn
pasta,120,85,35,0.8166666666666667,0.8539325842696629,0.8941176470588236,0.8735632183908046,0.8732773109243698,0.9432219584465669,76,13,22,9
altro,106,69,37,0.7169811320754716,0.8823529411764706,0.6521739130434783,0.75,0.8331374853113983,0.9066572408577339,45,6,31,24
carne,75,52,23,0.9066666666666666,0.8947368421052632,0.9807692307692307,0.9357798165137615,0.9740802675585285,0.9899275930954184,51,6,17,1
dessert,60,41,19,0.7166666666666667,0.875,0.6829268292682927,0.7671232876712328,0.7715019255455713,0.8953884375843335,28,4,15,13
pizza,46,33,13,0.6304347826086957,0.8636363636363636,0.5757575757575758,0.6909090909090909,0.7249417249417248,0.8984784085008044,19,3,10,14
riso,37,37,0,0.8108108108108109,1.0,0.8108108108108109,0.8955223880597015,,,30,0,0,7
burger,35,35,0,0.7714285714285715,1.0,0.7714285714285715,0.8709677419354839,,,27,0,0,8
fritti,22,14,8,0.9545454545454546,0.9333333333333333,1.0,0.9655172413793104,0.9375,0.9571162964020106,14,1,7,0
patatine,21,15,6,0.9047619047619048,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.9444444444444444,0.9833333333333333,14,1,5,1
sushi,20,13,7,0.4,0.6666666666666666,0.15384615384615385,0.25,0.5824175824175823,0.7684395283079493,2,1,6,11
riso_paella,15,0,15,0.6666666666666666,0.0,0.0,0.0,,,0,5,10,0
burger_panino,14,0,14,0.8571428571428571,0.0,0.0,0.0,,,0,2,12,0
insalata,8,6,2,0.875,1.0,0.8333333333333334,0.9090909090909091,1.0,1.0,5,0,2,1
kebab,5,4,1,0.6,1.0,0.5,0.6666666666666666,1.0,1.0,2,0,1,2
frutta,5,5,0,0.2,1.0,0.2,0.3333333333333333,,,1,0,0,4
frutta_verdura,3,0,3,1.0,0.0,0.0,0.0,,,0,0,3,0
zuppa,2,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1,0,1,0
