path,y_true,y_prob,y_pred,source,quality,food_category,defect_type,generator
/content/drive/MyDrive/DatasetVerifoto/images/whatsapp_vale_id/modificate/altro/marcio/gpt_image_1_5/5r4hbtsa_altro_buono_gpt_image_1_5.jpeg,1,0.0058854776,0,modificate,,altro,marcio,gpt_image_1_5
/content/drive/MyDrive/DatasetVerifoto/images/whatsapp_vale_id/modificate/altro/crudo/gpt_image_1_5/5r4hbtsa_altro_buono_gpt_image_1_5.jpeg,1,0.0073132804,0,modificate,,altro,crudo,gpt_image_1_5
/content/drive/MyDrive/DatasetVerifoto/images/whatsapp_vale_id/modificate/patatine/crudo/gpt_image_1_5/a3d45z5e_patatine_buono_gpt_image_1_5.jpeg,1,0.008183652,0,modificate,,patatine,crudo,gpt_image_1_5
/content/drive/MyDrive/DatasetVerifoto/images/whatsapp_vale_id/modificate/altro/bruciato/gpt_image_1_5/merbyufk_altro_buono_gpt_image_1_5.jpeg,1,0.009330225,0,modificate,,altro,bruciato,gpt_image_1_5
/content/drive/MyDrive/DatasetVerifoto/images/whatsapp_vale_id/modificate/sushi/marcio/gpt_image_1_5/afeqtdbm_sushi_buono_gpt_image_1_5.jpeg,1,0.009810785,0,modificate,,sushi,marcio,gpt_image_1_5
/content/drive/MyDrive/DatasetVerifoto/images/whatsapp_vale_id/modificate/sushi/insetti/gpt_image_1_5/afeqtdbm_sushi_buono_gpt_image_1_5.jpeg,1,0.009967761,0,modificate,,sushi,insetti,gpt_image_1_5
/content/drive/MyDrive/DatasetVerifoto/images/whatsapp_vale_id/modificate/pizza/bruciato/gpt_image_1_5/gvwifk3b_pizza_buono_gpt_image_1_5.jpeg,1,0.009996762,0,modificate,,pizza,bruciato,gpt_image_1_5
/content/drive/MyDrive/DatasetVerifoto/images/whatsapp_vale_id/modificate/dessert/bruciato/gpt_image_1_5/6mvklk2v_dessert_buono_gpt_image_1_5.jpeg,1,0.0103027215,0,modificate,,dessert,bruciato,gpt_image_1_5
/content/drive/MyDrive/DatasetVerifoto/images/whatsapp_vale_id/modificate/burger/panino/crudo/gpt_image_1_5/eranznxa_burger_panino_buono_gpt_image_1_5.jpeg,1,0.01078088,0,modificate,,burger,panino,crudo
/content/drive/MyDrive/DatasetVerifoto/images/whatsapp_vale_id/modificate/dessert/crudo/gpt_image_1_mini/xjivei55_dessert_buono_gpt_image_1_mini.jpeg,1,0.011512185,0,modificate,,dessert,crudo,gpt_image_1_mini
/content/drive/MyDrive/DatasetVerifoto/images/whatsapp_vale_id/modificate/pasta/crudo/gpt_image_1_5/fxnfeuxy_pasta_buono_gpt_image_1_5.jpeg,1,0.011553509,0,modificate,,pasta,crudo,gpt_image_1_5
/content/drive/MyDrive/DatasetVerifoto/images/whatsapp_vale_id/modificate/carne/marcio/gpt_image_1_5/fxvyn6pk_carne_buono_gpt_image_1_5.jpeg,1,0.011845506,0,modificate,,carne,marcio,gpt_image_1_5
/content/drive/MyDrive/DatasetVerifoto/images/whatsapp_vale_id/modificate/altro/crudo/gpt_image_1_5/buqukcd4_altro_buono_gpt_image_1_5.jpeg,1,0.014127149,0,modificate,,altro,crudo,gpt_image_1_5
/content/drive/MyDrive/DatasetVerifoto/images/whatsapp_vale_id/modificate/sushi/marcio/gpt_image_1_5/mw2pvbjq_sushi_buono_gpt_image_1_5.jpeg,1,0.014607137,0,modificate,,sushi,marcio,gpt_image_1_5
/content/drive/MyDrive/DatasetVerifoto/images/whatsapp_vale_id/modificate/sushi/insetti/gpt_image_1_5/mw2pvbjq_sushi_buono_gpt_image_1_5.jpeg,1,0.014682428,0,modificate,,sushi,insetti,gpt_image_1_5
/content/drive/MyDrive/DatasetVerifoto/images/whatsapp_vale_id/modificate/sushi/marcio/gpt_image_1_5/jdzs2vpb_sushi_buono_gpt_image_1_5.jpeg,1,0.014748168,0,modificate,,sushi,marcio,gpt_image_1_5
/content/drive/MyDrive/DatasetVerifoto/images/whatsapp_vale_id/modificate/riso/paella/marcio/gpt_image_1_5/gc2q5n3c_riso_paella_dubbio_gpt_image_1_5.jpeg,1,0.015215492,0,modificate,,riso,paella,marcio
/content/drive/MyDrive/DatasetVerifoto/images/whatsapp_vale_id/modificate/altro/insetti/gpt_image_1_5/eaqahksl_altro_buono_gpt_image_1_5.jpeg,1,0.0154020535,0,modificate,,altro,insetti,gpt_image_1_5
/content/drive/MyDrive/DatasetVerifoto/images/whatsapp_vale_id/modificate/altro/bruciato/gpt_image_1_5/wd3lojvd_altro_buono_gpt_image_1_5.jpeg,1,0.015668083,0,modificate,,altro,bruciato,gpt_image_1_5
/content/drive/MyDrive/DatasetVerifoto/images/whatsapp_vale_id/modificate/altro/crudo/gpt_image_1_5/wd3lojvd_altro_buono_gpt_image_1_5.jpeg,1,0.01581669,0,modificate,,altro,crudo,gpt_image_1_5
/content/drive/MyDrive/DatasetVerifoto/images/whatsapp_vale_id/modificate/dessert/marcio/gpt_image_1_5/5nsuylnm_dessert_buono_gpt_image_1_5.jpeg,1,0.016222008,0,modificate,,dessert,marcio,gpt_image_1_5
/content/drive/MyDrive/DatasetVerifoto/images/whatsapp_vale_id/modificate/burger/panino/bruciato/gpt_image_1_5/eranznxa_burger_panino_buono_gpt_image_1_5.jpeg,1,0.016852766,0,modificate,,burger,panino,bruciato
/content/drive/MyDrive/DatasetVerifoto/images/whatsapp_vale_id/modificate/pizza/crudo/gpt_image_1_5/pdw3legi_pizza_buono_gpt_image_1_5.jpeg,1,0.017915357,0,modificate,,pizza,crudo,gpt_image_1_5
/content/drive/MyDrive/DatasetVerifoto/images/whatsapp_vale_id/modificate/altro/bruciato/gpt_image_1_5/qposus4o_altro_buono_gpt_image_1_5.jpeg,1,0.017933521,0,modificate,,altro,bruciato,gpt_image_1_5
/content/drive/MyDrive/DatasetVerifoto/images/whatsapp_vale_id/modificate/sushi/insetti/gpt_image_1_5/m6xrm3um_sushi_buono_gpt_image_1_5.jpeg,1,0.018456932,0,modificate,,sushi,insetti,gpt_image_1_5
/content/drive/MyDrive/DatasetVerifoto/images/whatsapp_vale_id/modificate/dessert/crudo/gpt_image_1_5/6mvklk2v_dessert_buono_gpt_image_1_5.jpeg,1,0.01980425,0,modificate,,dessert,crudo,gpt_image_1_5
/content/drive/MyDrive/DatasetVerifoto/images/whatsapp_vale_id/modificate/sushi/marcio/gpt_image_1_5/m6xrm3um_sushi_buono_gpt_image_1_5.jpeg,1,0.02006704,0,modificate,,sushi,marcio,gpt_image_1_5
/content/drive/MyDrive/DatasetVerifoto/images/whatsapp_vale_id/modificate/dessert/ammuffito/gpt_image_1_5/5nsuylnm_dessert_buono_gpt_image_1_5.jpeg,1,0.020403074,0,modificate,,dessert,ammuffito,gpt_image_1_5
/content/drive/MyDrive/DatasetVerifoto/images/whatsapp_vale_id/modificate/sushi/insetti/gpt_image_1_5/jdzs2vpb_sushi_buono_gpt_image_1_5.jpeg,1,0.020632511,0,modificate,,sushi,insetti,gpt_image_1_5
