food_category,n_samples,n_pos,n_neg,accuracy,precision,recall,f1,roc_auc,pr_auc,tp,fp,tn,fn
altro,58,40,18,0.6896551724137931,0.8666666666666667,0.65,0.7428571428571429,0.7375,0.8787055599269362,26,4,14,14
carne,27,18,9,0.6296296296296297,0.7222222222222222,0.7222222222222222,0.7222222222222222,0.7777777777777778,0.8856723200592385,13,5,4,5
dessert,17,9,8,0.5882352941176471,0.75,0.3333333333333333,0.46153846153846156,0.5694444444444444,0.6054198887532221,3,1,7,6
burger,16,16,0,0.75,1.0,0.75,0.8571428571428571,,,12,0,0,4
pasta,16,5,11,0.6875,0.5,1.0,0.6666666666666666,0.8909090909090909,0.7595238095238095,5,5,6,0
pizza,10,6,4,0.8,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.7916666666666667,0.8833333333333333,5,1,3,1
fritti,8,6,2,0.75,0.75,1.0,0.8571428571428571,0.9166666666666667,0.9761904761904762,6,2,0,0
burger_panino,6,0,6,1.0,0.0,0.0,0.0,,,0,0,6,0
zuppa,5,4,1,1.0,1.0,1.0,1.0,1.0,1.0,4,0,1,0
patatine,3,2,1,0.6666666666666666,0.6666666666666666,1.0,0.8,0.5,0.8333333333333333,2,1,0,0
frutta_verdura,1,0,1,0.0,0.0,0.0,0.0,,,0,1,0,0
riso_paella,1,0,1,0.0,0.0,0.0,0.0,,,0,1,0,0
