food_category,n_samples,n_pos,n_neg,accuracy,precision,recall,f1,roc_auc,pr_auc,tp,fp,tn,fn
pasta,120,85,35,0.8,0.8426966292134831,0.8823529411764706,0.8620689655172413,0.8574789915966387,0.924921025688807,75,14,21,10
altro,106,69,37,0.6886792452830188,0.8461538461538461,0.6376811594202898,0.7272727272727273,0.7786917352134743,0.8766951790853701,44,8,29,25
carne,75,52,23,0.88,0.9056603773584906,0.9230769230769231,0.9142857142857143,0.9489966555183946,0.9782499598104281,48,5,18,4
dessert,60,41,19,0.6666666666666666,0.7837837837837838,0.7073170731707317,0.7435897435897436,0.7060333761232349,0.8658659985706213,29,8,11,12
pizza,46,33,13,0.717391304347826,0.9545454545454546,0.6363636363636364,0.7636363636363637,0.801864801864802,0.9276269826518531,21,1,12,12
burger,35,35,0,0.8,1.0,0.8,0.8888888888888888,,,28,0,0,7
fritti,22,14,8,0.9545454545454546,0.9333333333333333,1.0,0.9655172413793104,0.9107142857142857,0.9260788814360242,14,1,7,0
patatine,21,15,6,0.9523809523809523,1.0,0.9333333333333333,0.9655172413793104,0.9444444444444444,0.9833333333333333,14,0,6,1
sushi,20,13,7,0.45,0.75,0.23076923076923078,0.35294117647058826,0.7032967032967034,0.8294257642941854,3,1,6,10
riso_paella,15,0,15,0.6666666666666666,0.0,0.0,0.0,,,0,5,10,0
burger_panino,14,0,14,0.8571428571428571,0.0,0.0,0.0,,,0,2,12,0
insalata,8,6,2,0.75,1.0,0.6666666666666666,0.8,1.0,1.0,4,0,2,2
riso,8,8,0,0.625,1.0,0.625,0.7692307692307693,,,5,0,0,3
kebab,5,4,1,0.6,1.0,0.5,0.6666666666666666,1.0,1.0,2,0,1,2
frutta_verdura,3,0,3,0.6666666666666666,0.0,0.0,0.0,,,0,1,2,0
zuppa,2,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1,0,1,0
