food_category,n_samples,n_pos,n_neg,accuracy,precision,recall,f1,roc_auc,pr_auc,tp,fp,tn,fn
ds6__whatsapp_vale_id__modificate__sushi__marcio__gpt_image_1_5__000414.jpeg,1,1,0,1.0,1.0,1.0,1.0,,,1,0,0,0
ds1__platsim_ar_pico_banana_9gb-V__modificate__root__000011.jpg,1,1,0,1.0,1.0,1.0,1.0,,,1,0,0,0
ds1__platsim_ar_pico_banana_9gb-V__modificate__root__000012.jpg,1,1,0,0.0,0.0,0.0,0.0,,,0,0,0,1
ds1__platsim_ar_pico_banana_9gb-V__modificate__root__000020.jpg,1,1,0,0.0,0.0,0.0,0.0,,,0,0,0,1
ds1__platsim_ar_pico_banana_9gb-V__modificate__root__000031.jpg,1,1,0,1.0,1.0,1.0,1.0,,,1,0,0,0
ds1__platsim_ar_pico_banana_9gb-V__modificate__root__000032.jpg,1,1,0,1.0,1.0,1.0,1.0,,,1,0,0,0
ds1__platsim_ar_pico_banana_9gb-V__modificate__root__000033.jpg,1,1,0,1.0,1.0,1.0,1.0,,,1,0,0,0
ds1__platsim_ar_pico_banana_9gb-V__modificate__root__000034.jpg,1,1,0,1.0,1.0,1.0,1.0,,,1,0,0,0
ds1__platsim_ar_pico_banana_9gb-V__modificate__root__000035.jpg,1,1,0,0.0,0.0,0.0,0.0,,,0,0,0,1
ds1__platsim_ar_pico_banana_9gb-V__modificate__root__000036.jpg,1,1,0,1.0,1.0,1.0,1.0,,,1,0,0,0
ds1__platsim_ar_pico_banana_9gb-V__modificate__root__000046.jpg,1,1,0,1.0,1.0,1.0,1.0,,,1,0,0,0
ds1__platsim_ar_pico_banana_9gb-V__modificate__root__000061.jpg,1,1,0,1.0,1.0,1.0,1.0,,,1,0,0,0
ds1__platsim_ar_pico_banana_9gb-V__modificate__root__000064.jpg,1,1,0,0.0,0.0,0.0,0.0,,,0,0,0,1
ds6__whatsapp_vale_id__modificate__dessert__altro__gpt_image_1_5__000146.jpeg,1,1,0,1.0,1.0,1.0,1.0,,,1,0,0,0
ds6__whatsapp_vale_id__modificate__dessert__bruciato__gpt_image_1_5__000154.jpeg,1,1,0,0.0,0.0,0.0,0.0,,,0,0,0,1
ds6__whatsapp_vale_id__modificate__dessert__crudo__gpt_image_1_5__000165.jpeg,1,1,0,1.0,1.0,1.0,1.0,,,1,0,0,0
ds6__whatsapp_vale_id__modificate__dessert__crudo__gpt_image_1_5__000168.jpeg,1,1,0,1.0,1.0,1.0,1.0,,,1,0,0,0
ds6__whatsapp_vale_id__modificate__fritti__bruciato__gpt_image_1_5__000189.jpeg,1,1,0,1.0,1.0,1.0,1.0,,,1,0,0,0
ds6__whatsapp_vale_id__modificate__fritti__bruciato__gpt_image_1_5__000193.jpeg,1,1,0,1.0,1.0,1.0,1.0,,,1,0,0,0
ds6__whatsapp_vale_id__modificate__frutta__verdura__marcio__gpt_image_1_5__000212.jpeg,1,1,0,1.0,1.0,1.0,1.0,,,1,0,0,0
ds6__whatsapp_vale_id__modificate__insalata__marcio__gpt_image_1_mini__000218.jpeg,1,1,0,1.0,1.0,1.0,1.0,,,1,0,0,0
ds6__whatsapp_vale_id__modificate__carne__bruciato__gpt_image_1_5__000097.jpeg,1,1,0,1.0,1.0,1.0,1.0,,,1,0,0,0
ds6__whatsapp_vale_id__modificate__carne__bruciato__gpt_image_1_5__000098.jpeg,1,1,0,1.0,1.0,1.0,1.0,,,1,0,0,0
ds6__whatsapp_vale_id__modificate__carne__crudo__gpt_image_1_5__000112.jpg,1,1,0,1.0,1.0,1.0,1.0,,,1,0,0,0
ds6__whatsapp_vale_id__modificate__carne__crudo__gpt_image_1_mini__000126.jpeg,1,1,0,1.0,1.0,1.0,1.0,,,1,0,0,0
ds6__whatsapp_vale_id__modificate__carne__crudo__gpt_image_1_mini__000131.jpeg,1,1,0,1.0,1.0,1.0,1.0,,,1,0,0,0
ds6__whatsapp_vale_id__modificate__carne__marcio__gpt_image_1_5__000135.jpg,1,1,0,1.0,1.0,1.0,1.0,,,1,0,0,0
ds6__whatsapp_vale_id__modificate__carne__marcio__gpt_image_1_mini__000142.jpeg,1,1,0,1.0,1.0,1.0,1.0,,,1,0,0,0
ds6__whatsapp_vale_id__modificate__dessert__altro__gpt_image_1_5__000143.jpeg,1,1,0,1.0,1.0,1.0,1.0,,,1,0,0,0
ds6__whatsapp_vale_id__modificate__altro__insetti__gpt_image_1_5__000041.jpeg,1,1,0,1.0,1.0,1.0,1.0,,,1,0,0,0
ds6__whatsapp_vale_id__modificate__altro__marcio__gpt_image_1_5__000054.jpeg,1,1,0,1.0,1.0,1.0,1.0,,,1,0,0,0
ds6__whatsapp_vale_id__modificate__altro__marcio__gpt_image_1_5__000058.jpeg,1,1,0,1.0,1.0,1.0,1.0,,,1,0,0,0
ds6__whatsapp_vale_id__modificate__altro__marcio__gpt_image_1_5__000062.jpg,1,1,0,1.0,1.0,1.0,1.0,,,1,0,0,0
ds6__whatsapp_vale_id__modificate__burger__panino__crudo__gpt_image_1_5__000075.jpeg,1,1,0,1.0,1.0,1.0,1.0,,,1,0,0,0
ds6__whatsapp_vale_id__modificate__burger__panino__insetti__gpt_image_1_5__000082.jpeg,1,1,0,1.0,1.0,1.0,1.0,,,1,0,0,0
ds6__whatsapp_vale_id__modificate__burger__panino__marcio__gpt_image_1_5__000084.jpeg,1,1,0,1.0,1.0,1.0,1.0,,,1,0,0,0
ds6__whatsapp_vale_id__modificate__carne__bruciato__gpt_image_1_5__000089.jpeg,1,1,0,1.0,1.0,1.0,1.0,,,1,0,0,0
ds5__raw_vale_id__modificate__sushi__marcio__gpt_image_1_mini__000869.jpg,1,1,0,1.0,1.0,1.0,1.0,,,1,0,0,0
ds5__raw_vale_id__modificate__zuppa__ammuffito__gpt_image_1_5__000876.jpg,1,1,0,1.0,1.0,1.0,1.0,,,1,0,0,0
ds5__raw_vale_id__modificate__zuppa__insetti__gpt_image_1_5__000881.jpg,1,1,0,1.0,1.0,1.0,1.0,,,1,0,0,0
ds5__raw_vale_id__modificate__zuppa__marcio__gpt_image_1_5__000887.jpg,1,1,0,1.0,1.0,1.0,1.0,,,1,0,0,0
ds6__whatsapp_vale_id__modificate__altro__bruciato__gpt_image_1_5__000001.jpg,1,1,0,1.0,1.0,1.0,1.0,,,1,0,0,0
ds6__whatsapp_vale_id__modificate__altro__bruciato__gpt_image_1_5__000003.jpeg,1,1,0,1.0,1.0,1.0,1.0,,,1,0,0,0
ds6__whatsapp_vale_id__modificate__altro__bruciato__gpt_image_1_5__000017.jpeg,1,1,0,1.0,1.0,1.0,1.0,,,1,0,0,0
ds6__whatsapp_vale_id__modificate__altro__bruciato__gpt_image_1_mini__000021.jpeg,1,1,0,1.0,1.0,1.0,1.0,,,1,0,0,0
ds1__platsim_ar_pico_banana_9gb-V__modificate__root__000456.jpg,1,1,0,1.0,1.0,1.0,1.0,,,1,0,0,0
ds1__platsim_ar_pico_banana_9gb-V__modificate__root__000459.jpg,1,1,0,1.0,1.0,1.0,1.0,,,1,0,0,0
ds1__platsim_ar_pico_banana_9gb-V__modificate__root__000471.jpg,1,1,0,1.0,1.0,1.0,1.0,,,1,0,0,0
ds1__platsim_ar_pico_banana_9gb-V__modificate__root__000474.jpg,1,1,0,1.0,1.0,1.0,1.0,,,1,0,0,0
ds1__platsim_ar_pico_banana_9gb-V__modificate__root__000477.jpg,1,1,0,1.0,1.0,1.0,1.0,,,1,0,0,0
ds1__platsim_ar_pico_banana_9gb-V__modificate__root__000484.jpg,1,1,0,1.0,1.0,1.0,1.0,,,1,0,0,0
ds1__platsim_ar_pico_banana_9gb-V__modificate__root__000485.jpg,1,1,0,0.0,0.0,0.0,0.0,,,0,0,0,1
ds1__platsim_ar_pico_banana_9gb-V__modificate__root__000488.jpg,1,1,0,1.0,1.0,1.0,1.0,,,1,0,0,0
ds1__platsim_ar_pico_banana_9gb-V__modificate__root__000424.jpg,1,1,0,1.0,1.0,1.0,1.0,,,1,0,0,0
ds1__platsim_ar_pico_banana_9gb-V__modificate__root__000427.jpg,1,1,0,1.0,1.0,1.0,1.0,,,1,0,0,0
ds1__platsim_ar_pico_banana_9gb-V__modificate__root__000428.jpg,1,1,0,1.0,1.0,1.0,1.0,,,1,0,0,0
ds1__platsim_ar_pico_banana_9gb-V__modificate__root__000431.jpg,1,1,0,1.0,1.0,1.0,1.0,,,1,0,0,0
ds1__platsim_ar_pico_banana_9gb-V__modificate__root__000439.jpg,1,1,0,1.0,1.0,1.0,1.0,,,1,0,0,0
ds1__platsim_ar_pico_banana_9gb-V__modificate__root__000441.jpg,1,1,0,1.0,1.0,1.0,1.0,,,1,0,0,0
ds1__platsim_ar_pico_banana_9gb-V__modificate__root__000444.jpg,1,1,0,1.0,1.0,1.0,1.0,,,1,0,0,0
ds1__platsim_ar_pico_banana_9gb-V__modificate__root__000451.jpg,1,1,0,1.0,1.0,1.0,1.0,,,1,0,0,0
ds1__platsim_ar_pico_banana_9gb-V__modificate__root__000371.jpg,1,1,0,1.0,1.0,1.0,1.0,,,1,0,0,0
ds1__platsim_ar_pico_banana_9gb-V__modificate__root__000378.jpg,1,1,0,1.0,1.0,1.0,1.0,,,1,0,0,0
ds1__platsim_ar_pico_banana_9gb-V__modificate__root__000382.jpg,1,1,0,0.0,0.0,0.0,0.0,,,0,0,0,1
ds1__platsim_ar_pico_banana_9gb-V__modificate__root__000383.jpg,1,1,0,1.0,1.0,1.0,1.0,,,1,0,0,0
ds1__platsim_ar_pico_banana_9gb-V__modificate__root__000415.jpg,1,1,0,1.0,1.0,1.0,1.0,,,1,0,0,0
ds1__platsim_ar_pico_banana_9gb-V__modificate__root__000418.jpg,1,1,0,1.0,1.0,1.0,1.0,,,1,0,0,0
ds1__platsim_ar_pico_banana_9gb-V__modificate__root__000422.jpg,1,1,0,1.0,1.0,1.0,1.0,,,1,0,0,0
ds1__platsim_ar_pico_banana_9gb-V__modificate__root__000423.jpg,1,1,0,0.0,0.0,0.0,0.0,,,0,0,0,1
ds1__platsim_ar_pico_banana_9gb-V__modificate__root__000322.jpg,1,1,0,1.0,1.0,1.0,1.0,,,1,0,0,0
ds1__platsim_ar_pico_banana_9gb-V__modificate__root__000327.jpg,1,1,0,1.0,1.0,1.0,1.0,,,1,0,0,0
ds1__platsim_ar_pico_banana_9gb-V__modificate__root__000333.jpg,1,1,0,0.0,0.0,0.0,0.0,,,0,0,0,1
ds1__platsim_ar_pico_banana_9gb-V__modificate__root__000336.jpg,1,1,0,0.0,0.0,0.0,0.0,,,0,0,0,1
ds1__platsim_ar_pico_banana_9gb-V__modificate__root__000350.jpg,1,1,0,1.0,1.0,1.0,1.0,,,1,0,0,0
ds1__platsim_ar_pico_banana_9gb-V__modificate__root__000362.jpg,1,1,0,1.0,1.0,1.0,1.0,,,1,0,0,0
ds1__platsim_ar_pico_banana_9gb-V__modificate__root__000364.jpg,1,1,0,0.0,0.0,0.0,0.0,,,0,0,0,1
ds1__platsim_ar_pico_banana_9gb-V__modificate__root__000368.jpg,1,1,0,1.0,1.0,1.0,1.0,,,1,0,0,0
ds1__platsim_ar_pico_banana_9gb-V__modificate__root__000676.jpg,1,1,0,1.0,1.0,1.0,1.0,,,1,0,0,0
ds1__platsim_ar_pico_banana_9gb-V__modificate__root__000678.jpg,1,1,0,1.0,1.0,1.0,1.0,,,1,0,0,0
ds1__platsim_ar_pico_banana_9gb-V__modificate__root__000684.jpg,1,1,0,1.0,1.0,1.0,1.0,,,1,0,0,0
ds1__platsim_ar_pico_banana_9gb-V__modificate__root__000690.jpg,1,1,0,1.0,1.0,1.0,1.0,,,1,0,0,0
ds1__platsim_ar_pico_banana_9gb-V__modificate__root__000692.jpg,1,1,0,0.0,0.0,0.0,0.0,,,0,0,0,1
ds1__platsim_ar_pico_banana_9gb-V__modificate__root__000693.jpg,1,1,0,1.0,1.0,1.0,1.0,,,1,0,0,0
ds1__platsim_ar_pico_banana_9gb-V__modificate__root__000697.jpg,1,1,0,1.0,1.0,1.0,1.0,,,1,0,0,0
ds1__platsim_ar_pico_banana_9gb-V__modificate__root__000699.jpg,1,1,0,0.0,0.0,0.0,0.0,,,0,0,0,1
ds1__platsim_ar_pico_banana_9gb-V__modificate__root__000610.jpg,1,1,0,0.0,0.0,0.0,0.0,,,0,0,0,1
ds1__platsim_ar_pico_banana_9gb-V__modificate__root__000613.jpg,1,1,0,1.0,1.0,1.0,1.0,,,1,0,0,0
ds1__platsim_ar_pico_banana_9gb-V__modificate__root__000624.jpg,1,1,0,1.0,1.0,1.0,1.0,,,1,0,0,0
ds1__platsim_ar_pico_banana_9gb-V__modificate__root__000654.jpg,1,1,0,1.0,1.0,1.0,1.0,,,1,0,0,0
ds1__platsim_ar_pico_banana_9gb-V__modificate__root__000655.jpg,1,1,0,1.0,1.0,1.0,1.0,,,1,0,0,0
ds1__platsim_ar_pico_banana_9gb-V__modificate__root__000656.jpg,1,1,0,1.0,1.0,1.0,1.0,,,1,0,0,0
ds1__platsim_ar_pico_banana_9gb-V__modificate__root__000660.jpg,1,1,0,1.0,1.0,1.0,1.0,,,1,0,0,0
ds1__platsim_ar_pico_banana_9gb-V__modificate__root__000661.jpg,1,1,0,1.0,1.0,1.0,1.0,,,1,0,0,0
ds1__platsim_ar_pico_banana_9gb-V__modificate__root__000559.jpg,1,1,0,0.0,0.0,0.0,0.0,,,0,0,0,1
ds1__platsim_ar_pico_banana_9gb-V__modificate__root__000560.jpg,1,1,0,1.0,1.0,1.0,1.0,,,1,0,0,0
