quality,n_samples,n_pos,n_neg,accuracy,precision,recall,f1,roc_auc,pr_auc,tp,fp,tn,fn
ds6__whatsapp_vale_id__originali__buono__sushi__000169.jpeg,1,0,1,1.0,0.0,0.0,0.0,,,0,0,1,0
ds1__platsim_ar_pico_banana_9gb-V__originali__root__000004.jpg,1,0,1,1.0,0.0,0.0,0.0,,,0,0,1,0
ds1__platsim_ar_pico_banana_9gb-V__originali__root__000006.jpg,1,0,1,0.0,0.0,0.0,0.0,,,0,1,0,0
ds1__platsim_ar_pico_banana_9gb-V__originali__root__000010.jpg,1,0,1,1.0,0.0,0.0,0.0,,,0,0,1,0
ds1__platsim_ar_pico_banana_9gb-V__originali__root__000012.jpg,1,0,1,1.0,0.0,0.0,0.0,,,0,0,1,0
ds1__platsim_ar_pico_banana_9gb-V__originali__root__000016.jpg,1,0,1,1.0,0.0,0.0,0.0,,,0,0,1,0
ds1__platsim_ar_pico_banana_9gb-V__originali__root__000017.jpg,1,0,1,0.0,0.0,0.0,0.0,,,0,1,0,0
ds1__platsim_ar_pico_banana_9gb-V__originali__root__000018.jpg,1,0,1,0.0,0.0,0.0,0.0,,,0,1,0,0
ds1__platsim_ar_pico_banana_9gb-V__originali__root__000025.jpg,1,0,1,0.0,0.0,0.0,0.0,,,0,1,0,0
ds1__platsim_ar_pico_banana_9gb-V__originali__root__000039.jpg,1,0,1,0.0,0.0,0.0,0.0,,,0,1,0,0
ds1__platsim_ar_pico_banana_9gb-V__originali__root__000040.jpg,1,0,1,1.0,0.0,0.0,0.0,,,0,0,1,0
ds1__platsim_ar_pico_banana_9gb-V__originali__root__000043.jpg,1,0,1,1.0,0.0,0.0,0.0,,,0,0,1,0
ds1__platsim_ar_pico_banana_9gb-V__originali__root__000057.jpg,1,0,1,1.0,0.0,0.0,0.0,,,0,0,1,0
ds1__platsim_ar_pico_banana_9gb-V__originali__root__000066.jpg,1,0,1,0.0,0.0,0.0,0.0,,,0,1,0,0
ds1__platsim_ar_pico_banana_9gb-V__originali__root__000075.jpg,1,0,1,1.0,0.0,0.0,0.0,,,0,0,1,0
ds1__platsim_ar_pico_banana_9gb-V__originali__root__000085.jpg,1,0,1,1.0,0.0,0.0,0.0,,,0,0,1,0
ds1__platsim_ar_pico_banana_9gb-V__originali__root__000087.jpg,1,0,1,1.0,0.0,0.0,0.0,,,0,0,1,0
ds1__platsim_ar_pico_banana_9gb-V__originali__root__000090.jpg,1,0,1,1.0,0.0,0.0,0.0,,,0,0,1,0
ds1__platsim_ar_pico_banana_9gb-V__originali__root__000093.jpg,1,0,1,1.0,0.0,0.0,0.0,,,0,0,1,0
ds1__platsim_ar_pico_banana_9gb-V__originali__root__000097.jpg,1,0,1,1.0,0.0,0.0,0.0,,,0,0,1,0
ds1__platsim_ar_pico_banana_9gb-V__originali__root__000102.jpg,1,0,1,1.0,0.0,0.0,0.0,,,0,0,1,0
ds1__platsim_ar_pico_banana_9gb-V__originali__root__000115.jpg,1,0,1,1.0,0.0,0.0,0.0,,,0,0,1,0
ds1__platsim_ar_pico_banana_9gb-V__originali__root__000117.jpg,1,0,1,1.0,0.0,0.0,0.0,,,0,0,1,0
ds1__platsim_ar_pico_banana_9gb-V__originali__root__000120.jpg,1,0,1,1.0,0.0,0.0,0.0,,,0,0,1,0
ds1__platsim_ar_pico_banana_9gb-V__originali__root__000122.jpg,1,0,1,1.0,0.0,0.0,0.0,,,0,0,1,0
ds1__platsim_ar_pico_banana_9gb-V__originali__root__000138.jpg,1,0,1,1.0,0.0,0.0,0.0,,,0,0,1,0
ds5__raw_vale_id__originali__buono__pasta__000285.jpg,1,0,1,1.0,0.0,0.0,0.0,,,0,0,1,0
ds5__raw_vale_id__originali__buono__pasta__000287.jpg,1,0,1,1.0,0.0,0.0,0.0,,,0,0,1,0
ds5__raw_vale_id__originali__buono__pizza__000309.jpg,1,0,1,1.0,0.0,0.0,0.0,,,0,0,1,0
ds5__raw_vale_id__originali__buono__riso_paella__000346.jpg,1,0,1,1.0,0.0,0.0,0.0,,,0,0,1,0
ds5__raw_vale_id__originali__buono__riso_paella__000355.jpg,1,0,1,1.0,0.0,0.0,0.0,,,0,0,1,0
ds5__raw_vale_id__originali__buono__riso_paella__000357.jpg,1,0,1,1.0,0.0,0.0,0.0,,,0,0,1,0
ds5__raw_vale_id__originali__buono__sushi__000368.jpg,1,0,1,1.0,0.0,0.0,0.0,,,0,0,1,0
ds5__raw_vale_id__originali__buono__sushi__000371.jpg,1,0,1,1.0,0.0,0.0,0.0,,,0,0,1,0
ds5__raw_vale_id__originali__buono__pasta__000232.jpg,1,0,1,1.0,0.0,0.0,0.0,,,0,0,1,0
ds5__raw_vale_id__originali__buono__pasta__000238.jpg,1,0,1,1.0,0.0,0.0,0.0,,,0,0,1,0
ds5__raw_vale_id__originali__buono__pasta__000247.jpg,1,0,1,1.0,0.0,0.0,0.0,,,0,0,1,0
ds5__raw_vale_id__originali__buono__pasta__000254.jpg,1,0,1,1.0,0.0,0.0,0.0,,,0,0,1,0
ds5__raw_vale_id__originali__buono__pasta__000256.png,1,0,1,1.0,0.0,0.0,0.0,,,0,0,1,0
ds5__raw_vale_id__originali__buono__pasta__000264.jpg,1,0,1,1.0,0.0,0.0,0.0,,,0,0,1,0
ds5__raw_vale_id__originali__buono__pasta__000265.jpg,1,0,1,1.0,0.0,0.0,0.0,,,0,0,1,0
ds5__raw_vale_id__originali__buono__pasta__000266.jpg,1,0,1,1.0,0.0,0.0,0.0,,,0,0,1,0
ds5__raw_vale_id__originali__buono__dessert__000183.jpg,1,0,1,1.0,0.0,0.0,0.0,,,0,0,1,0
ds5__raw_vale_id__originali__buono__dessert__000188.jpg,1,0,1,1.0,0.0,0.0,0.0,,,0,0,1,0
ds5__raw_vale_id__originali__buono__dessert__000197.jpg,1,0,1,0.0,0.0,0.0,0.0,,,0,1,0,0
ds5__raw_vale_id__originali__buono__fritti__000203.jpg,1,0,1,1.0,0.0,0.0,0.0,,,0,0,1,0
ds5__raw_vale_id__originali__buono__fritti__000206.jpg,1,0,1,0.0,0.0,0.0,0.0,,,0,1,0,0
ds5__raw_vale_id__originali__buono__fritti__000207.jpg,1,0,1,1.0,0.0,0.0,0.0,,,0,0,1,0
ds5__raw_vale_id__originali__buono__insalata__000215.jpg,1,0,1,1.0,0.0,0.0,0.0,,,0,0,1,0
ds5__raw_vale_id__originali__buono__pasta__000231.jpg,1,0,1,1.0,0.0,0.0,0.0,,,0,0,1,0
ds5__raw_vale_id__originali__buono__carne__000143.jpg,1,0,1,0.0,0.0,0.0,0.0,,,0,1,0,0
ds5__raw_vale_id__originali__buono__carne__000154.jpg,1,0,1,1.0,0.0,0.0,0.0,,,0,0,1,0
ds5__raw_vale_id__originali__buono__carne__000155.jpg,1,0,1,1.0,0.0,0.0,0.0,,,0,0,1,0
ds5__raw_vale_id__originali__buono__carne__000161.jpg,1,0,1,1.0,0.0,0.0,0.0,,,0,0,1,0
ds5__raw_vale_id__originali__buono__carne__000163.jpg,1,0,1,1.0,0.0,0.0,0.0,,,0,0,1,0
ds5__raw_vale_id__originali__buono__carne__000170.jpg,1,0,1,1.0,0.0,0.0,0.0,,,0,0,1,0
ds5__raw_vale_id__originali__buono__carne__000173.jpg,1,0,1,1.0,0.0,0.0,0.0,,,0,0,1,0
ds5__raw_vale_id__originali__buono__dessert__000179.jpg,1,0,1,1.0,0.0,0.0,0.0,,,0,0,1,0
ds1__platsim_ar_pico_banana_9gb-V__originali__root__000524.jpg,1,0,1,1.0,0.0,0.0,0.0,,,0,0,1,0
ds1__platsim_ar_pico_banana_9gb-V__originali__root__000538.jpg,1,0,1,1.0,0.0,0.0,0.0,,,0,0,1,0
ds1__platsim_ar_pico_banana_9gb-V__originali__root__000541.jpg,1,0,1,1.0,0.0,0.0,0.0,,,0,0,1,0
ds1__platsim_ar_pico_banana_9gb-V__originali__root__000542.jpg,1,0,1,0.0,0.0,0.0,0.0,,,0,1,0,0
ds1__platsim_ar_pico_banana_9gb-V__originali__root__000543.jpg,1,0,1,1.0,0.0,0.0,0.0,,,0,0,1,0
ds1__platsim_ar_pico_banana_9gb-V__originali__root__000570.jpg,1,0,1,1.0,0.0,0.0,0.0,,,0,0,1,0
ds1__platsim_ar_pico_banana_9gb-V__originali__root__000572.jpg,1,0,1,1.0,0.0,0.0,0.0,,,0,0,1,0
ds1__platsim_ar_pico_banana_9gb-V__originali__root__000574.jpg,1,0,1,1.0,0.0,0.0,0.0,,,0,0,1,0
ds1__platsim_ar_pico_banana_9gb-V__originali__root__000486.jpg,1,0,1,1.0,0.0,0.0,0.0,,,0,0,1,0
ds1__platsim_ar_pico_banana_9gb-V__originali__root__000490.jpg,1,0,1,0.0,0.0,0.0,0.0,,,0,1,0,0
ds1__platsim_ar_pico_banana_9gb-V__originali__root__000501.jpg,1,0,1,1.0,0.0,0.0,0.0,,,0,0,1,0
ds1__platsim_ar_pico_banana_9gb-V__originali__root__000505.jpg,1,0,1,1.0,0.0,0.0,0.0,,,0,0,1,0
ds1__platsim_ar_pico_banana_9gb-V__originali__root__000509.jpg,1,0,1,0.0,0.0,0.0,0.0,,,0,1,0,0
ds1__platsim_ar_pico_banana_9gb-V__originali__root__000510.jpg,1,0,1,1.0,0.0,0.0,0.0,,,0,0,1,0
ds1__platsim_ar_pico_banana_9gb-V__originali__root__000518.jpg,1,0,1,1.0,0.0,0.0,0.0,,,0,0,1,0
ds1__platsim_ar_pico_banana_9gb-V__originali__root__000520.jpg,1,0,1,1.0,0.0,0.0,0.0,,,0,0,1,0
ds1__platsim_ar_pico_banana_9gb-V__originali__root__000428.jpg,1,0,1,0.0,0.0,0.0,0.0,,,0,1,0,0
ds1__platsim_ar_pico_banana_9gb-V__originali__root__000430.jpg,1,0,1,0.0,0.0,0.0,0.0,,,0,1,0,0
ds1__platsim_ar_pico_banana_9gb-V__originali__root__000436.jpg,1,0,1,0.0,0.0,0.0,0.0,,,0,1,0,0
ds1__platsim_ar_pico_banana_9gb-V__originali__root__000437.jpg,1,0,1,1.0,0.0,0.0,0.0,,,0,0,1,0
ds1__platsim_ar_pico_banana_9gb-V__originali__root__000448.jpg,1,0,1,1.0,0.0,0.0,0.0,,,0,0,1,0
ds1__platsim_ar_pico_banana_9gb-V__originali__root__000466.jpg,1,0,1,1.0,0.0,0.0,0.0,,,0,0,1,0
ds1__platsim_ar_pico_banana_9gb-V__originali__root__000482.jpg,1,0,1,1.0,0.0,0.0,0.0,,,0,0,1,0
ds1__platsim_ar_pico_banana_9gb-V__originali__root__000485.jpg,1,0,1,1.0,0.0,0.0,0.0,,,0,0,1,0
ds1__platsim_ar_pico_banana_9gb-V__originali__root__000373.jpg,1,0,1,1.0,0.0,0.0,0.0,,,0,0,1,0
ds1__platsim_ar_pico_banana_9gb-V__originali__root__000375.jpg,1,0,1,1.0,0.0,0.0,0.0,,,0,0,1,0
ds1__platsim_ar_pico_banana_9gb-V__originali__root__000402.jpg,1,0,1,1.0,0.0,0.0,0.0,,,0,0,1,0
ds1__platsim_ar_pico_banana_9gb-V__originali__root__000403.jpg,1,0,1,1.0,0.0,0.0,0.0,,,0,0,1,0
ds1__platsim_ar_pico_banana_9gb-V__originali__root__000406.jpg,1,0,1,1.0,0.0,0.0,0.0,,,0,0,1,0
ds1__platsim_ar_pico_banana_9gb-V__originali__root__000407.jpg,1,0,1,0.0,0.0,0.0,0.0,,,0,1,0,0
ds1__platsim_ar_pico_banana_9gb-V__originali__root__000423.jpg,1,0,1,1.0,0.0,0.0,0.0,,,0,0,1,0
ds1__platsim_ar_pico_banana_9gb-V__originali__root__000427.jpg,1,0,1,1.0,0.0,0.0,0.0,,,0,0,1,0
ds1__platsim_ar_pico_banana_9gb-V__originali__root__000766.jpg,1,0,1,0.0,0.0,0.0,0.0,,,0,1,0,0
ds1__platsim_ar_pico_banana_9gb-V__originali__root__000796.jpg,1,0,1,0.0,0.0,0.0,0.0,,,0,1,0,0
ds1__platsim_ar_pico_banana_9gb-V__originali__root__000798.jpg,1,0,1,1.0,0.0,0.0,0.0,,,0,0,1,0
ds1__platsim_ar_pico_banana_9gb-V__originali__root__000801.jpg,1,0,1,1.0,0.0,0.0,0.0,,,0,0,1,0
