path,label,source,quality,food_category,defect_type,generator
/content/tmp_merged_datasets/merged_training_dataset/modificate/ds2__exp_3_augmented_v6.2_noK__modificate__altro__bruciato__gpt_image_1_5__000018.jpg,1,modificate,,ds2__exp_3_augmented_v6.2_noK__modificate__altro__bruciato__gpt_image_1_5__000018.jpg,,
/content/tmp_merged_datasets/merged_training_dataset/modificate/ds2__exp_3_augmented_v6.2_noK__modificate__carne__crudo__gpt_image_1_mini__001257.jpg,1,modificate,,ds2__exp_3_augmented_v6.2_noK__modificate__carne__crudo__gpt_image_1_mini__001257.jpg,,
/content/tmp_merged_datasets/merged_training_dataset/modificate/ds1__platsim_ar_pico_banana_9gb-V__modificate__root__002248.jpg,1,modificate,,ds1__platsim_ar_pico_banana_9gb-V__modificate__root__002248.jpg,,
/content/tmp_merged_datasets/merged_training_dataset/modificate/ds4__platsim_whatsapp_vale_id__modificate__pasta__marcio__gpt_image_1_5__000278.jpg,1,modificate,,ds4__platsim_whatsapp_vale_id__modificate__pasta__marcio__gpt_image_1_5__000278.jpg,,
/content/tmp_merged_datasets/merged_training_dataset/modificate/ds5__raw_vale_id__modificate__burger__panino__bruciato__gpt_image_1_5__000229.jpg,1,modificate,,ds5__raw_vale_id__modificate__burger__panino__bruciato__gpt_image_1_5__000229.jpg,,
/content/tmp_merged_datasets/merged_training_dataset/originali/ds2__exp_3_augmented_v6.2_noK__originali__buono__pizza__000783.jpg,0,originali,ds2__exp_3_augmented_v6.2_noK__originali__buono__pizza__000783.jpg,,,
/content/tmp_merged_datasets/merged_training_dataset/originali/ds1__platsim_ar_pico_banana_9gb-V__originali__root__001055.jpg,0,originali,ds1__platsim_ar_pico_banana_9gb-V__originali__root__001055.jpg,,,
/content/tmp_merged_datasets/merged_training_dataset/modificate/ds2__exp_3_augmented_v6.2_noK__modificate__pasta__bruciato__gpt_image_1_mini__001764.jpg,1,modificate,,ds2__exp_3_augmented_v6.2_noK__modificate__pasta__bruciato__gpt_image_1_mini__001764.jpg,,
/content/tmp_merged_datasets/merged_training_dataset/modificate/ds5__raw_vale_id__modificate__pasta__bruciato__gpt_image_1_5__000491.jpg,1,modificate,,ds5__raw_vale_id__modificate__pasta__bruciato__gpt_image_1_5__000491.jpg,,
/content/tmp_merged_datasets/merged_training_dataset/modificate/ds2__exp_3_augmented_v6.2_noK__modificate__sushi__crudo__gpt_image_1_5__002571.jpg,1,modificate,,ds2__exp_3_augmented_v6.2_noK__modificate__sushi__crudo__gpt_image_1_5__002571.jpg,,
/content/tmp_merged_datasets/merged_training_dataset/originali/ds1__platsim_ar_pico_banana_9gb-V__originali__root__000130.jpg,0,originali,ds1__platsim_ar_pico_banana_9gb-V__originali__root__000130.jpg,,,
/content/tmp_merged_datasets/merged_training_dataset/modificate/ds5__raw_vale_id__modificate__burger__panino__bruciato__gpt_image_1_mini__000241.jpg,1,modificate,,ds5__raw_vale_id__modificate__burger__panino__bruciato__gpt_image_1_mini__000241.jpg,,
/content/tmp_merged_datasets/merged_training_dataset/modificate/ds2__exp_3_augmented_v6.2_noK__modificate__dessert__marcio__gpt_image_1_mini__001370.jpg,1,modificate,,ds2__exp_3_augmented_v6.2_noK__modificate__dessert__marcio__gpt_image_1_mini__001370.jpg,,
/content/tmp_merged_datasets/merged_training_dataset/modificate/ds1__platsim_ar_pico_banana_9gb-V__modificate__root__000615.jpg,1,modificate,,ds1__platsim_ar_pico_banana_9gb-V__modificate__root__000615.jpg,,
/content/tmp_merged_datasets/merged_training_dataset/modificate/ds1__platsim_ar_pico_banana_9gb-V__modificate__root__001808.jpg,1,modificate,,ds1__platsim_ar_pico_banana_9gb-V__modificate__root__001808.jpg,,
/content/tmp_merged_datasets/merged_training_dataset/originali/ds2__exp_3_augmented_v6.2_noK__originali__buono__burger_panino__000283.jpg,0,originali,ds2__exp_3_augmented_v6.2_noK__originali__buono__burger_panino__000283.jpg,,,
/content/tmp_merged_datasets/merged_training_dataset/modificate/ds1__platsim_ar_pico_banana_9gb-V__modificate__root__000653.jpg,1,modificate,,ds1__platsim_ar_pico_banana_9gb-V__modificate__root__000653.jpg,,
/content/tmp_merged_datasets/merged_training_dataset/originali/ds2__exp_3_augmented_v6.2_noK__originali__cattivo__carne__bruciato__001095.jpg,0,originali,ds2__exp_3_augmented_v6.2_noK__originali__cattivo__carne__bruciato__001095.jpg,,,
/content/tmp_merged_datasets/merged_training_dataset/modificate/ds4__platsim_whatsapp_vale_id__modificate__pizza__bruciato__gpt_image_1_5__000324.jpg,1,modificate,,ds4__platsim_whatsapp_vale_id__modificate__pizza__bruciato__gpt_image_1_5__000324.jpg,,
/content/tmp_merged_datasets/merged_training_dataset/modificate/ds1__platsim_ar_pico_banana_9gb-V__modificate__root__000963.jpg,1,modificate,,ds1__platsim_ar_pico_banana_9gb-V__modificate__root__000963.jpg,,
/content/tmp_merged_datasets/merged_training_dataset/modificate/ds2__exp_3_augmented_v6.2_noK__modificate__fritti__crudo__gpt_image_1_5__001442.jpg,1,modificate,,ds2__exp_3_augmented_v6.2_noK__modificate__fritti__crudo__gpt_image_1_5__001442.jpg,,
/content/tmp_merged_datasets/merged_training_dataset/originali/ds2__exp_3_augmented_v6.2_noK__originali__buono__burger_panino__000238.jpg,0,originali,ds2__exp_3_augmented_v6.2_noK__originali__buono__burger_panino__000238.jpg,,,
/content/tmp_merged_datasets/merged_training_dataset/modificate/ds2__exp_3_augmented_v6.2_noK__modificate__fritti__bruciato__gpt_image_1_5__001395.jpg,1,modificate,,ds2__exp_3_augmented_v6.2_noK__modificate__fritti__bruciato__gpt_image_1_5__001395.jpg,,
/content/tmp_merged_datasets/merged_training_dataset/originali/ds1__platsim_ar_pico_banana_9gb-V__originali__root__001202.jpg,0,originali,ds1__platsim_ar_pico_banana_9gb-V__originali__root__001202.jpg,,,
/content/tmp_merged_datasets/merged_training_dataset/originali/ds4__platsim_whatsapp_vale_id__originali__buono__dessert__000073.jpg,0,originali,ds4__platsim_whatsapp_vale_id__originali__buono__dessert__000073.jpg,,,
/content/tmp_merged_datasets/merged_training_dataset/originali/ds1__platsim_ar_pico_banana_9gb-V__originali__root__002461.jpg,0,originali,ds1__platsim_ar_pico_banana_9gb-V__originali__root__002461.jpg,,,
