path,y_true,y_prob,y_pred,source,quality,food_category,defect_type,generator
/content/tmp_merged_datasets/merged_training_dataset/modificate/ds1__platsim_ar_pico_banana_9gb-V__modificate__root__001575.jpg,1,0.009749777,0,modificate,,ds1__platsim_ar_pico_banana_9gb-V__modificate__root__001575.jpg,,
/content/tmp_merged_datasets/merged_training_dataset/modificate/ds1__platsim_ar_pico_banana_9gb-V__modificate__root__000692.jpg,1,0.010044091,0,modificate,,ds1__platsim_ar_pico_banana_9gb-V__modificate__root__000692.jpg,,
/content/tmp_merged_datasets/merged_training_dataset/modificate/ds6__whatsapp_vale_id__modificate__dessert__bruciato__gpt_image_1_5__000154.jpeg,1,0.010063279,0,modificate,,ds6__whatsapp_vale_id__modificate__dessert__bruciato__gpt_image_1_5__000154.jpeg,,
/content/tmp_merged_datasets/merged_training_dataset/modificate/ds1__platsim_ar_pico_banana_9gb-V__modificate__root__002186.jpg,1,0.010852554,0,modificate,,ds1__platsim_ar_pico_banana_9gb-V__modificate__root__002186.jpg,,
/content/tmp_merged_datasets/merged_training_dataset/modificate/ds1__platsim_ar_pico_banana_9gb-V__modificate__root__000200.jpg,1,0.012044845,0,modificate,,ds1__platsim_ar_pico_banana_9gb-V__modificate__root__000200.jpg,,
/content/tmp_merged_datasets/merged_training_dataset/modificate/ds3__platsim_raw_vale_id__modificate__pasta__crudo__gpt_image_1_5__000561.jpg,1,0.0122672655,0,modificate,,ds3__platsim_raw_vale_id__modificate__pasta__crudo__gpt_image_1_5__000561.jpg,,
/content/tmp_merged_datasets/merged_training_dataset/modificate/ds4__platsim_whatsapp_vale_id__modificate__dessert__bruciato__gpt_image_1_5__000154.jpg,1,0.012557053,0,modificate,,ds4__platsim_whatsapp_vale_id__modificate__dessert__bruciato__gpt_image_1_5__000154.jpg,,
/content/tmp_merged_datasets/merged_training_dataset/modificate/ds1__platsim_ar_pico_banana_9gb-V__modificate__root__001766.jpg,1,0.012613513,0,modificate,,ds1__platsim_ar_pico_banana_9gb-V__modificate__root__001766.jpg,,
/content/tmp_merged_datasets/merged_training_dataset/modificate/ds1__platsim_ar_pico_banana_9gb-V__modificate__root__001667.jpg,1,0.0136990165,0,modificate,,ds1__platsim_ar_pico_banana_9gb-V__modificate__root__001667.jpg,,
/content/tmp_merged_datasets/merged_training_dataset/modificate/ds1__platsim_ar_pico_banana_9gb-V__modificate__root__000850.jpg,1,0.014139978,0,modificate,,ds1__platsim_ar_pico_banana_9gb-V__modificate__root__000850.jpg,,
/content/tmp_merged_datasets/merged_training_dataset/modificate/ds4__platsim_whatsapp_vale_id__modificate__riso__paella__crudo__gpt_image_1_5__000377.jpg,1,0.014459482,0,modificate,,ds4__platsim_whatsapp_vale_id__modificate__riso__paella__crudo__gpt_image_1_5__000377.jpg,,
/content/tmp_merged_datasets/merged_training_dataset/modificate/ds1__platsim_ar_pico_banana_9gb-V__modificate__root__000293.jpg,1,0.01619908,0,modificate,,ds1__platsim_ar_pico_banana_9gb-V__modificate__root__000293.jpg,,
/content/tmp_merged_datasets/merged_training_dataset/modificate/ds4__platsim_whatsapp_vale_id__modificate__dessert__marcio__gpt_image_1_5__000175.jpg,1,0.016398326,0,modificate,,ds4__platsim_whatsapp_vale_id__modificate__dessert__marcio__gpt_image_1_5__000175.jpg,,
/content/tmp_merged_datasets/merged_training_dataset/modificate/ds1__platsim_ar_pico_banana_9gb-V__modificate__root__001056.jpg,1,0.017134627,0,modificate,,ds1__platsim_ar_pico_banana_9gb-V__modificate__root__001056.jpg,,
/content/tmp_merged_datasets/merged_training_dataset/modificate/ds1__platsim_ar_pico_banana_9gb-V__modificate__root__000068.jpg,1,0.017539812,0,modificate,,ds1__platsim_ar_pico_banana_9gb-V__modificate__root__000068.jpg,,
/content/tmp_merged_datasets/merged_training_dataset/modificate/ds1__platsim_ar_pico_banana_9gb-V__modificate__root__001482.jpg,1,0.017779259,0,modificate,,ds1__platsim_ar_pico_banana_9gb-V__modificate__root__001482.jpg,,
/content/tmp_merged_datasets/merged_training_dataset/modificate/ds1__platsim_ar_pico_banana_9gb-V__modificate__root__000064.jpg,1,0.018291159,0,modificate,,ds1__platsim_ar_pico_banana_9gb-V__modificate__root__000064.jpg,,
/content/tmp_merged_datasets/merged_training_dataset/modificate/ds1__platsim_ar_pico_banana_9gb-V__modificate__root__001426.jpg,1,0.019279296,0,modificate,,ds1__platsim_ar_pico_banana_9gb-V__modificate__root__001426.jpg,,
