path,y_true,y_prob,y_pred,source,quality,food_category,defect_type,generator
/content/tmp_merged_datasets/merged_training_dataset/originali/ds1__platsim_ar_pico_banana_9gb-V__originali__root__000018.jpg,0,0.9971366,1,originali,ds1__platsim_ar_pico_banana_9gb-V__originali__root__000018.jpg,,,
/content/tmp_merged_datasets/merged_training_dataset/originali/ds1__platsim_ar_pico_banana_9gb-V__originali__root__001287.jpg,0,0.98981464,1,originali,ds1__platsim_ar_pico_banana_9gb-V__originali__root__001287.jpg,,,
/content/tmp_merged_datasets/merged_training_dataset/originali/ds3__platsim_raw_vale_id__originali__buono__altro__000079.jpg,0,0.98776615,1,originali,ds3__platsim_raw_vale_id__originali__buono__altro__000079.jpg,,,
/content/tmp_merged_datasets/merged_training_dataset/originali/ds5__raw_vale_id__originali__buono__altro__000079.jpg,0,0.9874977,1,originali,ds5__raw_vale_id__originali__buono__altro__000079.jpg,,,
/content/tmp_merged_datasets/merged_training_dataset/originali/ds1__platsim_ar_pico_banana_9gb-V__originali__root__001419.jpg,0,0.9825624,1,originali,ds1__platsim_ar_pico_banana_9gb-V__originali__root__001419.jpg,,,
/content/tmp_merged_datasets/merged_training_dataset/originali/ds1__platsim_ar_pico_banana_9gb-V__originali__root__000643.jpg,0,0.9807349,1,originali,ds1__platsim_ar_pico_banana_9gb-V__originali__root__000643.jpg,,,
/content/tmp_merged_datasets/merged_training_dataset/originali/ds1__platsim_ar_pico_banana_9gb-V__originali__root__002111.jpg,0,0.98063964,1,originali,ds1__platsim_ar_pico_banana_9gb-V__originali__root__002111.jpg,,,
/content/tmp_merged_datasets/merged_training_dataset/originali/ds1__platsim_ar_pico_banana_9gb-V__originali__root__000159.jpg,0,0.9769018,1,originali,ds1__platsim_ar_pico_banana_9gb-V__originali__root__000159.jpg,,,
/content/tmp_merged_datasets/merged_training_dataset/originali/ds1__platsim_ar_pico_banana_9gb-V__originali__root__002334.jpg,0,0.97483647,1,originali,ds1__platsim_ar_pico_banana_9gb-V__originali__root__002334.jpg,,,
/content/tmp_merged_datasets/merged_training_dataset/originali/ds1__platsim_ar_pico_banana_9gb-V__originali__root__000436.jpg,0,0.9735411,1,originali,ds1__platsim_ar_pico_banana_9gb-V__originali__root__000436.jpg,,,
/content/tmp_merged_datasets/merged_training_dataset/originali/ds3__platsim_raw_vale_id__originali__buono__riso_paella__000342.jpg,0,0.9735048,1,originali,ds3__platsim_raw_vale_id__originali__buono__riso_paella__000342.jpg,,,
/content/tmp_merged_datasets/merged_training_dataset/originali/ds1__platsim_ar_pico_banana_9gb-V__originali__root__001472.jpg,0,0.97191745,1,originali,ds1__platsim_ar_pico_banana_9gb-V__originali__root__001472.jpg,,,
/content/tmp_merged_datasets/merged_training_dataset/originali/ds5__raw_vale_id__originali__buono__carne__000134.jpg,0,0.9706514,1,originali,ds5__raw_vale_id__originali__buono__carne__000134.jpg,,,
/content/tmp_merged_datasets/merged_training_dataset/originali/ds5__raw_vale_id__originali__buono__fritti__000206.jpg,0,0.9704917,1,originali,ds5__raw_vale_id__originali__buono__fritti__000206.jpg,,,
/content/tmp_merged_datasets/merged_training_dataset/originali/ds1__platsim_ar_pico_banana_9gb-V__originali__root__001877.jpg,0,0.9677353,1,originali,ds1__platsim_ar_pico_banana_9gb-V__originali__root__001877.jpg,,,
